versionRef,Binder_Name,Binder_BSB,Binder_BankAccount
SEL TMFGLLiabilityV1,TMF General Lines,32001,181583
SEL TMFPropertyV1,TMF General Lines,32001,181583
SEL TMFHealthV1,TMF General Lines,32001,181583
SEL TMFMiscV1,TMF General Lines,32001,181583
SEL TMFMotorV1,TMF General Lines,32001,181583
